id,name,definition
DOID:1098,hemolytic disease of the fetus,"A microcytic anemia that is characterized by Rho(D) incompatibility, which may develop when a woman with Rh-negative blood is impregnated by an individual with Rh-positive blood and conceives a fetus with Rh-positive blood, sometimes resulting in hemolysis."
DOID:10986,discitis,A cartilage disease that is characterized by an infection of the intervertebral disc space.
DOID:11111,hydronephrosis,An urinary system disease that is characterized by swelling of one or both kidneys due to incomplete voiding of urine.
DOID:11243,anemia of prematurity,A neonatal anemia that is characterized by anemia experienced by preterm infants in the early postnatal weeks.
DOID:11244,neonatal anemia,An anemia that is characterized by a lower red blood cell count than normal in neonates.
DOID:11252,microcytic anemia,"An anemia that is characterized by a low normal mean corpuscular volume (MCV) (less than 80 fL) and is defined by the presence of small, often hypochromic, red blood cells in a peripheral blood smear."
DOID:11759,hypochromic anemia,"An anemia that is characterized by a decrease in the ratio of the weight of hemoglobin to the volume of the erythrocyte. As a result, the red cells have an area of central pallor which is increased in size. The leading cause is iron deficiency."
DOID:11870,Pick's disease,A frontotemporal dementia that is characterized by a spectrum of neuropsychiatric symptoms ranging from those that affect the patient's personality to those that cause a decline in cognitive function.
DOID:13120,protein-deficiency anemia,A nutritional deficiency disease that is characterized by inadequate protein intake.
DOID:13357,chondromalacia patellae,"A chondromalacia that is characterized by well-localized pain when the patella is grated against the femoral condyles or when the knee is actively extended with the patella manually displaced distally. This occurs when the posterior articular surface of the patella starts losing its density when in a healthy state and becomes softer with subsequent tearing, fissuring, and erosion of the hyaline cartilage."
DOID:1340,pure red-cell aplasia,A congenital hypoplastic anemia that is characterized by a normocytic normochromic anemia with severe reticulocytopenia and marked reduction or absence of erythroid precursors from the bone marrow.
DOID:1342,congenital hypoplastic anemia,"An aplastic anemia that is characterized by insufficient production of red blood cells, usually seen in the first year of life."
DOID:13576,twin-to-twin transfusion syndrome,A neonatal anemia that is characterized by an increased number of arteriovenous anastomoses deep in the placenta. These capillary connections occur in the cotyledon portion of the placenta. Unidirectional flow can occur in these arteriovenous anastomoses and result in shunting of blood towards one twin and away from the other when the arteriovenous anastomoses are unbalanced.
DOID:14021,Tietze's syndrome,"A cartilage disease that is characterized by localized tenderness and non-suppurative swelling, typically associated with the 2nd or 3rd costal cartilages unilaterally caused by inflammation of one or more of the costal cartilages and that has symptom anterior chest pain."
DOID:14497,Wolman disease,"A lysosomal acid lipase deficiency characterized by infantile onset of rapidly progressive accumulation of cholesteryl esters and triglycerides throughout the body, resulting in hepatosplenomegaly, severe malnutrition, jaundice, vomiting, diarrhea, steatorrhea. Death usually occurs within the first year of life."
