id,name,definition
DOID:0051014,atypical autosomal dominant adult-onset demyelinating leukodystrophy,"An adult onset demyelinating leukodystrophy that is characterized by pyramidal signs with weakness and spasticity, dysarthria, dysautonomia, and white matter alterations affecting the cerebrum and corticospinal tracts while sparing the cerebellum and that has_material_basis_in heterozygous deletion involving regulatory elements upstream of the LMNB1 gene on chromosome 5q23. Atypical ADLD can be distinguished from typical ADLD by lack of early involvement of the autonomic nervous system and sparing of the cerebellum clinically and on brain imaging."
DOID:0051015,adult onset demyelinating leukodystrophy,"A leukodystrophy that is characterized by central nervous system demyelination, leading to autonomic dysfunction, ataxia and mild cognitive impairment."
DOID:0051016,visceral heterotaxy 1,"A visceral heterotaxy that is characterized by randomization of the placement of visceral organs, including the heart, lungs, liver, spleen, and stomach and that has_material_basis_in mutation in the ZIC3 gene on chromosome Xq26."
DOID:0051017,visceral heterotaxy 2,A visceral heterotaxy that has_material_basis_in heterozygous mutation in the CFC1 gene on chromosome 2q21.
DOID:0051018,visceral heterotaxy 3,A visceral heterotaxy that has been mapped to chromosome 6q21.
DOID:0051019,visceral heterotaxy 4,A visceral heterotaxy that is has_material_basis_in heterozygous mutation in the ACVR2B gene on chromosome 3p22.
DOID:0051020,visceral heterotaxy 6,A visceral heterotaxy that is has_material_basis_in homozygous mutation in the CCDC11 gene (CFAP53) on chromosome 18q21.
DOID:0051021,visceral heterotaxy 7,A visceral heterotaxy that is characterized by complex congenital heart malformations and/or situs inversus and caused by defects in the normal left-right asymmetric positioning of internal organs and that has_material_basis_in homozygous or compound heterozygous mutation in the MMP21 gene on chromosome 10q26.
DOID:0051022,visceral heterotaxy 8,A visceral heterotaxy that is characterized by visceral situs inversus associated with complex congenital heart malformations caused by defects in the normal left-right asymmetric positioning of internal organs and that has_material_basis_in homozygous or compound heterozygous mutation in the PKD1L1 gene on chromosome 7p12.
DOID:0051023,visceral heterotaxy 9,"A visceral heterotaxy that is characterized by randomization of organ laterality, resulting in defects such as situs inversus and dextrocardia and that has_material_basis_in homozygous mutation in the MNS1 gene on chromosome 15q21."
DOID:0051024,visceral heterotaxy 10,"A visceral heterotaxy that is characterized by a failure to generate normal left-right visceral asymmetry during embryogenesis, which can result in heterotaxy syndrome or situs inversus totalis and that has_material_basis_in homozygous mutation in the CFAP52 gene on chromosome 17p13."
DOID:0051025,visceral heterotaxy 11,"A visceral heterotaxy that is characterized by a failure to generate normal left-right visceral asymmetry during embryogenesis, which can result in heterotaxy syndrome or situs inversus totalis and that has_material_basis_in homozygous or compound heterozygous mutation in the CFAP45 gene on chromosome 1q23."
DOID:0051026,visceral heterotaxy 12,"A visceral heterotaxy that is characterized by defects in the asymmetric positioning of visceral organs across the left-right axis, known as laterality defects and that has_material_basis_in homozygous or compound heterozygous mutation in the CIROP gene on chromosome 14q11."
DOID:0051027,visceral heterotaxy 13,A visceral heterotaxy that is characterized by heterotaxy and congenital heart disease and that has_material_basis_in homozygous mutation in the DAND5 gene on chromosome 19p13.
DOID:0051028,autosomal recessive axonal Charcot-Marie-Tooth disease with vocal cord paresis,A Charcot-Marie-Tooth disease type 4 that is characterized by the absence of sensory loss with an onset age of 15 to 25 years and that has_material_basis_in heterozygous mutation in the gene encoding heat-shock 22-kD protein-8 (HSPB8) on chromosome 12q24.
DOID:0051029,mitochondrial DNA depletion syndrome-21,"A mitochondrial DNA depletion syndrome that is characterized by ptosis, ophthalmoparesis, and myopathic limb weakness, as well as variable hepatopathy and altered T-lymphocyte profiles and that has_material_basis_in homozygous or compound heterozygous mutation in the GUK1 gene, which encodes guanylate kinase-1, on chromosome 1q42."
DOID:0051030,"neurodevelopmental disorder with microcephaly, absent speech, and hypotonia","An autosomal recessive intellectual developmental disorder that is characterized by global developmental delay, hypotonia with virtually no motor skill acquisition, and profoundly impaired intellectual development with absent speech and that has_material_basis_in homozygous or compound heterozygous mutation in the FLVCR1 gene on chromosome 1q32."
DOID:0051031,primary autosomal recessive microcephaly 20,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the KIF14 gene on chromosome 1q31.
DOID:0051032,primary autosomal recessive microcephaly 21,A primary autosomal recessive microcephaly that has_material_basis_in homozygous mutation in the NCAPD2 gene on chromosome 12p13.
DOID:0051033,primary autosomal recessive microcephaly 22,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the NCAPD3 gene on chromosome 11q25.
DOID:0051034,primary autosomal recessive microcephaly 23,A primary autosomal recessive microcephaly that has_material_basis_in homozygous mutation in the NCAPH gene on chromosome 2q11.
DOID:0051035,primary autosomal recessive microcephaly 24,A primary autosomal recessive microcephaly that has_material_basis_in homozygous mutation in the NUP37 gene on chromosome 12q23.
DOID:0051036,primary autosomal recessive microcephaly 25,A primary autosomal recessive microcephaly that has_material_basis_in homozygous mutation in the MAP11 gene on chromosome 7q22.
DOID:0051037,autosomal dominant primary microcephaly 26,A primary microcephaly that is characterized by progressive microcephaly beginning at birth and associated with global developmental delay with variably impaired intellectual development and that has_material_basis_in heterozygous mutation in the LMNB1 gene on chromosome 5q23.
DOID:0051038,autosomal dominant primary microcephaly 27,"A primary microcephaly that is characterized by small head circumference apparent in early childhood and associated with global developmental delay manifest as delayed walking, inability to walk, impaired intellectual development, and poor or absent speech and that has_material_basis_in heterozygous mutation in the LMNB2 gene on chromosome 19p13."
DOID:0051039,primary autosomal recessive microcephaly 28,A primary autosomal recessive microcephaly that is characterized by reduced head size (down to -8 SD) and variably impaired intellectual development apparent from early childhood and that has_material_basis_in homozygous mutation in the RRP7A gene on chromosome 22q13.
DOID:0051040,primary autosomal recessive microcephaly 29,"A primary autosomal recessive microcephaly that is characterized by small head circumference apparent at birth and associated with global developmental delay, impaired intellectual development, speech delay, and behavioral abnormalities and that has_material_basis_in homozygous mutation in the PDCD6IP gene on chromosome 3p22."
DOID:0051041,primary autosomal recessive microcephaly 30,"A primary autosomal recessive microcephaly that is characterized by small head circumference, poor overall growth, and global developmental delay with variably impaired intellectual development and that has_material_basis_in homozygous or compound heterozygous mutation in the BUB1 gene on chromosome 2q13."
DOID:0051042,autosomal dominant distal hereditary motor neuronopathy 15,An autosomal dominant distal hereditary motor neuronopathy that is characterized by adult onset of slowly progressive distal weakness and atrophy of the lower limbs associated with absent reflexes and that has_material_basis_in heterozygous mutation in the BAG3 gene on chromosome 10q26.
DOID:0051043,Charcot-Marie-Tooth disease axonal type 2JJ,A Charcot-Marie-Tooth disease type 2 that is characterized by adult onset of distal sensory impairment and distal muscle weakness and atrophy predominantly affecting the lower limbs and that has_material_basis_in heterozygous mutation in the BAG3 gene on chromosome 10q26.
DOID:0051044,infantile-onset myofibrillar myopathy 12 with cardiomyopathy,"A myofibrillar myopathy that is characterized by tremor or clonus at birth, followed by onset of rapidly progressive generalized muscle weakness and dilated cardiomyopathy and cardiac failure and that has_material_basis_in homozygous or compound heterozygous mutation in the MYL2 gene on chromosome 12q23."
DOID:0051045,myofibrillar myopathy 13 with rimmed vacuoles,"A myofibrillar myopathy that is characterized by progressive muscle weakness and atrophy usually beginning in adulthood, although rare patients may have earlier onset, even in childhood and that has_material_basis_in heterozygous mutation in the HSPB8 gene on chromosome 12q24."
DOID:0051046,"spondyloepimetaphyseal dysplasia, Li-Shao-Li type","A spondyloepimetaphyseal dysplasia that is characterized by childhood-onset defective skeletal development, including disproportionate short stature with relatively short lower limbs, limited joint flexion, premature osteoarthritis-like changes in weight-bearing joints, and low bone mass and that has_material_basis_in heterozygous mutation in the CCN2 gene on chromosome 6q23."
DOID:0051047,congenital disorder of glycosylation type IIbb,"A congenital disorder of glycosylation type II that is characterized by global developmental delay, severely impaired intellectual development, microcephaly, epilepsy, facial dysmorphism, and variable neurologic findings and that has_material_basis_in homozygous mutation in the COG3 gene on chromosome 13q14."
DOID:0051048,congenital disorder of glycosylation type IIr,"A congenital disorder of glycosylation type II that is characterized by infantile onset of liver failure, recurrent infections due to hypogammaglobulinemia, and cutis laxa and that has_material_basis_in hemizygous mutation in the ATP6AP2 gene on chromosome Xp11."
DOID:0051049,congenital disorder of glycosylation type IIt,"A congenital disorder of glycosylation type II that is characterized by global developmental delay, poor overall growth, severely impaired intellectual development with absent language, and behavioral abnormalities and that has_material_basis_in homozygous mutation in the GALNT2 gene on chromosome 1q41."
DOID:0051050,congenital disorder of glycosylation type IIv,A congenital disorder of glycosylation type II that is characterized by neurodevelopmental delay and variable facial dysmorphisms and that has_material_basis_in homozygous or compound heterozygous mutation in the EDEM3 gene on chromosome 1q25.
DOID:0051051,congenital disorder of glycosylation type IIw,"A congenital disorder of glycosylation type II that is characterized by liver dysfunction, coagulation deficiencies, and profound abnormalities in N-glycosylation of serum specific proteins and that has_material_basis_in heterozygous mutation in the G6PT1 gene (SLC37A4), which encodes glucose-6-phosphate translocase, on chromosome 11q23."
DOID:0051052,congenital disorder of glycosylation type IIy,A congenital disorder of glycosylation type II that is characterized by poor overall growth and global developmental delay with impaired intellectual development and that has_material_basis_in compound heterozygous mutations in the GET4 gene on chromosome 7p22.
DOID:0051053,congenital disorder of glycosylation type IIz,"A congenital disorder of glycosylation type II that is characterized by poor overall growth, severe global developmental delay, seizures, contractures, hypotonia, spasticity, and brain imaging abnormalities and that has_material_basis_in homozygous mutation in the CAMLG gene on chromosome 5q23."
DOID:0051054,coarctation of the aorta,"A congenital heart disease that is characterized by the luminal narrowing of the thoracic aortic arch, typically located just beyond the left subclavian artery. This narrowing creates an obstruction that can lead to significant cardiovascular complications, including systemic hypertension, left ventricular hypertrophy, and eventually heart failure."
DOID:0051055,"46,XY gonadal dysgenesis with minifascicular neuropathy",A gonadal dysgenesis that characterized by minifascicular neuropathy and that has_material_basis_in mutation in the desert hedgehog gene (DHH).
DOID:0051056,immunodeficiency 113,"A primary immunodeficiency disease that is characterized by recurrent infections and usually show features of autoimmunity and autoinflammation, such as hemolytic anemia, thrombocytopenia, hepatosplenomegaly, leukocytosis, neutrophilia, and elevated acute phase reactants, and that has_material_basis_in  homozygous mutation in the ARPC5 gene on chromosome 1q25."
DOID:0051057,avoidant/restrictive food intake disorder,An eating disorder that is characterized by a persistent pattern of avoidant or selective eating that fails to meet nutritional needs and results in significant nutritional deficiency or weight loss.
DOID:0051058,acute calcific periarthritis,A periarthritis that is characterized by the juxta-articular deposition of calcium hydroxyapatite crystals and local inflammation.
DOID:0051059,autosomal recessive Segawa syndrome,A dystonia that is characterized by onset in infancy of dopa-responsive dystonia and that has_material_basis_in homozygous or compound heterozygous mutation in the tyrosine hydroxylase gene (TH) on chromosome 11p15.
DOID:0051060,frontotemporal dementia 1,"A frontotemporal dementia that has_material_basis_in heterozygous mutation in the MAPT gene, which encodes microtubule-associated protein tau, on chromosome 17q21."
DOID:0061025,familial restrictive cardiomyopathy 6,"A restrictive cardiomyopathy characterized by prenatal onset of severe restrictive cardiomyopathy predominantly involving the right ventricle, resulting in irreversible heart failure and early death that has_material_basis_in compound heterozygous mutation in the KIF20A gene on chromosome 5q31."
DOID:0061026,hereditary pyropoikilocytosis,"A hemolytic anemia characterized by microspherocytosis, poikilocytosis, and an unusual thermal sensitivity of red cells that has_material_basis_in mutation in the alpha-spectrin or the beta-spectrin gene."
DOID:0061027,Duane retraction syndrome 1,A Duane retraction syndrome that has_material_basis_in loci that maps to chromosome 8q13.
DOID:0061028,Duane retraction syndrome 2,A Duane retraction syndrome that has_material_basis_in heterozygous mutation in the CHN1 gene on chromosome 2q31.
DOID:0061029,Duane retraction syndrome 3,A Duane retraction syndrome that has_material_basis_in heterozygous mutation in the MAFB gene on chromosome 20q12.
DOID:0061030,hemophilia,A blood coagulation disease characterized by spontaneous hemorrhage or prolonged bleeding.
DOID:0061031,autosomal dominant intellectual developmental disorder 57,An autosomal dominant intellectual developmental disorder that has_material_basis_in heterozygous mutation in the TLK2 gene on chromosome 17q23.
DOID:0061032,autosomal dominant intellectual developmental disorder 58,An autosomal dominant intellectual developmental disorder that has_material_basis_in heterozygous mutation in the SET gene on chromosome 9q34.
DOID:0061033,autosomal dominant intellectual developmental disorder 59,An autosomal dominant intellectual developmental disorder that has_material_basis_in heterozygous mutation in the CAMK2G gene on chromosome 10q22.
DOID:0061034,autosomal dominant intellectual developmental disorder 61,"An autosomal dominant intellectual developmental disorder characterized by global developmental delay apparent in infancy with mildly impaired intellectual development, expressive speech delay, and behavioral abnormalities, including autism spectrum disorder and attention deficit-hyperactivity disorder (ADHD) that has_material_basis_in heterozygous mutation in the MED13 gene on chromosome 17q23."
DOID:0061035,autosomal dominant intellectual developmental disorder 62,An autosomal dominant intellectual developmental disorder that has_material_basis_in caused by heterozygous mutation in the DLG4 gene on chromosome 17p13.
DOID:0061036,autosomal dominant intellectual developmental disorder 63 with macrocephaly,An autosomal dominant intellectual developmental disorder that has_material_basis_in heterozygous mutation in the TRIO gene on chromosome 5p15.
DOID:0061037,autosomal dominant intellectual developmental disorder 64,An autosomal dominant intellectual developmental disorder characterized by mildly to severely impaired intellectual development (ID) with speech delays that has_material_basis_in heterozygous mutation in the ZNF292 gene on chromosome 6q14.
DOID:0061038,autosomal dominant intellectual developmental disorder 65,"An autosomal dominant intellectual developmental disorder characterized by delayed motor and speech acquisition, variably impaired intellectual development, and behavioral abnormalities that has_material_basis_in heterozygous mutation in the KDM4B gene on chromosome 19p13."
DOID:0061039,autosomal dominant intellectual developmental disorder 66,An autosomal dominant intellectual developmental disorder characterized by global developmental delay with mildly to moderately impaired intellectual development and mild speech delay that has_material_basis_in heterozygous mutation in the ATP2B1 gene on chromosome 12q21.
